,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
1,1,127,Commonsense Knowledge Salience Evaluation with a Benchmark Dataset in E-commerce,Accept-Findings,Resources and Evaluation,"Yincen Qu, Ningyu Zhang, Hui Chen, zelin Dai, Chengming Wang, Xiaoyu Wang, Qiang Chen and Huajun Chen",Alibaba,Regular Long Paper,,82daf49155c62391209eb741b8ccf3e82782cc36,https://www.semanticscholar.org/reader/82daf49155c62391209eb741b8ccf3e82782cc36?experiments=&features=reader_skimming%3Atrue
3,3,143,Improving Semantic Matching through Dependency-Enhanced Pre-trained Model with Adaptive Fusion,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Jian Song, Di Liang, Rumei Li, Yuntao Li, Sirui Wang, Minlong Peng, Wei Wu and Yongxin Yu",Tianjin University,Regular Long Paper,,8e8cda070f8672bb1b855acf07411efa59b5dbc7,https://www.semanticscholar.org/reader/8e8cda070f8672bb1b855acf07411efa59b5dbc7?experiments=&features=reader_skimming%3Atrue
4,4,150,Sparse Mixers: Combining MoE and Mixing to build a more efficient BERT,Accept-Findings,Efficient Methods for NLP,James Lee-Thorp and Joshua Ainslie,Google Research,Regular Long Paper,,7618f17179bb316002cb6cc472d61382776af6b7,https://www.semanticscholar.org/reader/7618f17179bb316002cb6cc472d61382776af6b7?experiments=&features=reader_skimming%3Atrue
6,6,161,Acceptability Judgements via Examining the Topology of Attention Maps,Accept-Findings,Machine Learning for NLP,"Daniil Cherniavskii, Eduard Tulchinskii, Vladislav Mikhailov, Irina Proskurina, Laida Kushnareva, Ekaterina Artemova, Serguei Barannikov, Irina Piontkovskaya, Dmitri Piontkovski and Evgeny Burnaev",LMU Munich,Regular Long Paper,,4f05bb8ef87b7e723f72f19af1d8dab6e54291de,https://www.semanticscholar.org/reader/4f05bb8ef87b7e723f72f19af1d8dab6e54291de?experiments=&features=reader_skimming%3Atrue
7,7,170,Clip-Tuning: Towards Derivative-free Prompt Learning with a Mixture of Rewards,Accept-Findings,Language Modeling and Analysis of Language Models,"Yekun Chai, Shuohuan Wang, Yu Sun, Hao Tian, Hua Wu and Haifeng Wang",Baidu,Regular Short Paper,,aca584d4e5f4e80ef471cceefa8600b4daeddb2b,https://www.semanticscholar.org/reader/aca584d4e5f4e80ef471cceefa8600b4daeddb2b?experiments=&features=reader_skimming%3Atrue
8,8,192,Soft-Labeled Contrastive Pre-Training for Function-Level Code Representation,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Xiaonan Li, Daya Guo, Yeyun Gong, Yun Lin, Yelong Shen, Xipeng Qiu, Daxin Jiang, Weizhu Chen and Nan Duan",Fudan University,Regular Long Paper,,8ffe7b7eeddbd4c22d642b0a48379d17e61c3bab,https://www.semanticscholar.org/reader/8ffe7b7eeddbd4c22d642b0a48379d17e61c3bab?experiments=&features=reader_skimming%3Atrue
10,10,199,Does Simultaneous Speech Translation need Simultaneous Models?,Accept-Findings,Machine Translation,"Sara Papi, Marco Gaido, Matteo Negri and Marco Turchi",Fondazione Bruno Kessler,Regular Long Paper,,2a044612d4d9cd0d67d53247f6c11de0373044a3,https://www.semanticscholar.org/reader/2a044612d4d9cd0d67d53247f6c11de0373044a3?experiments=&features=reader_skimming%3Atrue
11,11,200,Utilizing Language-Image Pretraining for Efficient and Robust Bilingual Word Alignment,Accept-Findings,Machine Learning for NLP,"Tuan Q. Dinh, Jy-yong Sohn, Shashank Rajput, Timothy Z. Ossowski, Yifei Ming, Junjie Hu, Dimitris Papailiopoulos and Kangwook Lee",University of Wisconsin-Madison,Regular Long Paper,,42d1bf3c14a28544e046fc02dcd7c0fffd238a1b,https://www.semanticscholar.org/reader/42d1bf3c14a28544e046fc02dcd7c0fffd238a1b?experiments=&features=reader_skimming%3Atrue
12,12,203,Grape: Knowledge Graph Enhanced Passage Reader for Open-domain Question Answering,Accept-Findings,Question Answering,"Mingxuan Ju, Wenhao Yu, Tong Zhao, Chuxu Zhang and Yanfang Ye",University of Notre Dame,Regular Long Paper,,397ea2e5e4dae1bc9250458cf7d696cdf3200e40,https://www.semanticscholar.org/reader/397ea2e5e4dae1bc9250458cf7d696cdf3200e40?experiments=&features=reader_skimming%3Atrue
14,14,238,NMTScore: A Multilingual Analysis of Translation-based Text Similarity Measures,Accept-Findings,Multilinguality,Jannis Vamvas and Rico Sennrich,"Department of Computational Linguistics, University of Zurich",Regular Long Paper,,8ab82ac0b80e67a63e19303db2342d29bfae003b,https://www.semanticscholar.org/reader/8ab82ac0b80e67a63e19303db2342d29bfae003b?experiments=&features=reader_skimming%3Atrue
15,15,244,"Language Models Understand Us, Poorly",Accept-Findings,Theme Track,Jared Moore,University of Washington,Regular Short Paper,,5c02d55fe14e2baf4b6b59a476ee6a20698397ef,https://www.semanticscholar.org/reader/5c02d55fe14e2baf4b6b59a476ee6a20698397ef?experiments=&features=reader_skimming%3Atrue
16,16,246,Dialogue Meaning Representation for Task-Oriented Dialogue Systems,Accept-Findings,Dialogue and Interactive Systems,"Xiangkun Hu, Junqi Dai, Hang Yan, Yi Zhang, Qipeng Guo, Xipeng Qiu and Zheng Zhang",Amazon,Regular Long Paper,,e4eeffb8f9ba530347d98fd2c785d22e919c47a7,https://www.semanticscholar.org/reader/e4eeffb8f9ba530347d98fd2c785d22e919c47a7?experiments=&features=reader_skimming%3Atrue
17,17,255,Learning from the Dictionary: Heterogeneous Knowledge Guided Fine-tuning for Chinese Spell Checking,Accept-Findings,NLP Applications,"Yinghui Li, Shirong Ma, Qingyu Zhou, Zhongli Li, Li Yangning, Shulin Huang, Ruiyang Liu, Chao Li, Yunbo Cao and Haitao Zheng",Tsinghua University,Regular Long Paper,,0e4b8867274af148e4ea3777f5263a6119f91ecc,https://www.semanticscholar.org/reader/0e4b8867274af148e4ea3777f5263a6119f91ecc?experiments=&features=reader_skimming%3Atrue
18,18,277,Salient Phrase Aware Dense Retrieval: Can a Dense Retriever Imitate a Sparse One?,Accept-Findings,Information Retrieval and Text Mining,"Xilun Chen, Kushal Lakhotia, Barlas Oguz, Anchit Gupta, Patrick Lewis, Stan Peshterliev, Yashar Mehdad, Sonal Gupta and Wen-tau Yih",Meta AI,Regular Long Paper,,3f90c820417b4a770bbf74cd0bd7da0ded91f63b,https://www.semanticscholar.org/reader/3f90c820417b4a770bbf74cd0bd7da0ded91f63b?experiments=&features=reader_skimming%3Atrue
22,22,292,Yes-Yes-Yes: Proactive Data Collection for ACL Rolling Review and Beyond,Accept-Findings,Ethic Concerns:Ethics,"Nils Dycke, Ilia Kuznetsov and Iryna Gurevych","UKP Lab, Technische Universität Darmstadt",Regular Long Paper,,a5868a1823dd6dff8a551f31aeb1b555d258bb0a,https://www.semanticscholar.org/reader/a5868a1823dd6dff8a551f31aeb1b555d258bb0a?experiments=&features=reader_skimming%3Atrue
23,23,295,AssistSR: Task-oriented Video Segment Retrieval for Personal AI Assistant,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding","Weixian Lei, DIFEI GAO, Yuxuan Wang, Dongxing Mao, Zihan Liang, Lingmin Ran and Mike Zheng Shou",National University of Singapore,Regular Long Paper,,211f9cdb571b9ad3de070b84e76b7c747518031c,https://www.semanticscholar.org/reader/211f9cdb571b9ad3de070b84e76b7c747518031c?experiments=&features=reader_skimming%3Atrue
24,24,301,Dim-Krum: Backdoor-Resistant Federated Learning for NLP with Dimension-wise Krum-Based Aggregation,Accept-Findings,Machine Learning for NLP,"Zhiyuan Zhang, Qi Su and Xu Sun",Peking University,Regular Long Paper,,6abe5a55e30bbcaf14f94ab0fd080d88e2b60602,https://www.semanticscholar.org/reader/6abe5a55e30bbcaf14f94ab0fd080d88e2b60602?experiments=&features=reader_skimming%3Atrue
25,25,302,Fine-mixing: Mitigating Backdoors in Fine-tuned Language Models,Accept-Findings,Machine Learning for NLP,"Zhiyuan Zhang, Lingjuan Lyu, Xingjun Ma, Chenguang Wang and Xu Sun",Peking University,Regular Long Paper,,1e69f7b278ba4ae61fdbeb3330d041107287bd20,https://www.semanticscholar.org/reader/1e69f7b278ba4ae61fdbeb3330d041107287bd20?experiments=&features=reader_skimming%3Atrue
26,26,304,Language Models that Seek for Knowledge: Modular Search & Generation for Dialogue and Prompt Completion,Accept-Findings,Dialogue and Interactive Systems,"Kurt Shuster, Mojtaba Komeili, Leonard Adolphs, Stephen Roller, Arthur Szlam and Jason Weston",Facebook,Regular Long Paper,,f8292d4ddf7a6dfe240eeaa9685f5d18eed9a3f6,https://www.semanticscholar.org/reader/f8292d4ddf7a6dfe240eeaa9685f5d18eed9a3f6?experiments=&features=reader_skimming%3Atrue
28,28,313,Towards Realistic Low-resource Relation Extraction: A Benchmark with Empirical Baseline Study,Accept-Findings,Information Extraction,"Xin Xu, Xiang Chen, Ningyu Zhang, Xin Xie, Xi Chen and Huajun Chen",Zhejiang University,Regular Long Paper,,145fb51975ec4ca72708bf354713f568a7541358,https://www.semanticscholar.org/reader/145fb51975ec4ca72708bf354713f568a7541358?experiments=&features=reader_skimming%3Atrue
32,32,334,LEMON: Language-Based Environment Manipulation via Execution-Guided Pre-training,Accept-Findings,Dialogue and Interactive Systems,"Qi Shi, Qian Liu, Bei Chen, Yu Zhang, Ting Liu and Jian-Guang LOU",Harbin Institute of Technology,Regular Long Paper,,d6f9bd800d21ab71cb968cd48448530cdf8fff37,https://www.semanticscholar.org/reader/d6f9bd800d21ab71cb968cd48448530cdf8fff37?experiments=&features=reader_skimming%3Atrue
33,33,335,CROP: Zero-shot Cross-lingual Named Entity Recognition with Multilingual Labeled Sequence Translation,Accept-Findings,Multilinguality,"Jian Yang, Shaohan Huang, Shuming Ma, Yuwei Yin, Li Dong, Dongdong Zhang, hongcheng guo, Zhoujun Li and Furu Wei",BeiHang university,Regular Long Paper,,3e7d2160f58088297a8347a8273642ee484c7967,https://www.semanticscholar.org/reader/3e7d2160f58088297a8347a8273642ee484c7967?experiments=&features=reader_skimming%3Atrue
34,34,339,Handling and Presenting Harmful Text in NLP Research,Accept-Findings,Theme Track,"Hannah Rose Kirk, Abeba Birhane, Bertie Vidgen and Leon Derczynski",IT University of Copenhagen,Regular Long Paper,,dbcaf58c85b5a75e517cdd3390994dca7b0bc3d4,https://www.semanticscholar.org/reader/dbcaf58c85b5a75e517cdd3390994dca7b0bc3d4?experiments=&features=reader_skimming%3Atrue
35,35,356,Multimodal Contrastive Learning via Uni-Modal Coding and Cross-Modal Prediction for Multimodal Sentiment Analysis,Accept-Findings,"Speech, Vision, Robotics, Multimodal Grounding",Ronghao Lin and Haifeng Hu,SUN YAT-SEN UNIVERSITY,Regular Long Paper,,a91332878b9f47c9eede80f4d0c4d15f7089439e,https://www.semanticscholar.org/reader/a91332878b9f47c9eede80f4d0c4d15f7089439e?experiments=&features=reader_skimming%3Atrue
36,36,359,Towards Unified Prompt Tuning for Few-shot Text Classification,Accept-Findings,Information Retrieval and Text Mining,"Jianing Wang, Chengyu Wang, Fuli Luo, Chuanqi Tan, Minghui Qiu, Fei Yang, Qiuhui Shi, Songfang Huang and Ming Gao",East China Normal University,Regular Long Paper,,a221def07d3cd4f29c38234e271faf8a523e0f5a,https://www.semanticscholar.org/reader/a221def07d3cd4f29c38234e271faf8a523e0f5a?experiments=&features=reader_skimming%3Atrue
37,37,367,Can language models learn from explanations in context?,Accept-Findings,Language Modeling and Analysis of Language Models,"Andrew Kyle Lampinen, Ishita Dasgupta, Stephanie C.Y. Chan, Kory Mathewson, MH Tessler, Antonia Creswell, James L. McClelland, Jane X. Wang and Felix Hill",DeepMind,Regular Long Paper,,341bdbcfc3febef7691a97c216ad394653211095,https://www.semanticscholar.org/reader/341bdbcfc3febef7691a97c216ad394653211095?experiments=&features=reader_skimming%3Atrue
38,38,368,GNN-encoder: Learning a Dual-encoder Architecture via Graph Neural Networks for Dense Passage Retrieval,Accept-Findings,Information Retrieval and Text Mining,"Jiduan Liu, Jiahao Liu, Yang Yang, Jingang Wang, Wei Wu, Dongyan Zhao and Rui Yan",Peking University,Regular Long Paper,,0e9e00c48b171ec13063bfcc6395809be91d5e8b,https://www.semanticscholar.org/reader/0e9e00c48b171ec13063bfcc6395809be91d5e8b?experiments=&features=reader_skimming%3Atrue
39,39,384,Linguistic Rules-Based Corpus Generation for Native Chinese Grammatical Error Correction,Accept-Findings,Resources and Evaluation,"Shirong Ma, Yinghui Li, Rongyi Sun, Qingyu Zhou, Shulin Huang, Ding Zhang, Li Yangning, Ruiyang Liu, Zhongli Li, Yunbo Cao, Haitao Zheng and Ying Shen",Tsinghua University,Regular Long Paper,,090f0d79c35047881aab87d1b6ea313a3146ec33,https://www.semanticscholar.org/reader/090f0d79c35047881aab87d1b6ea313a3146ec33?experiments=&features=reader_skimming%3Atrue
43,43,418,TextHacker: Learning based Hybrid Local Search Algorithm for Text Hard-label Adversarial Attack,Accept-Findings,Machine Learning for NLP,"Zhen Yu, Xiaosen Wang, Wanxiang Che and Kun He",Huazhong University of Science and Technology,Regular Long Paper,,6c4ffabd326daa73fa12fea0614bf81e85fcde0e,https://www.semanticscholar.org/reader/6c4ffabd326daa73fa12fea0614bf81e85fcde0e?experiments=&features=reader_skimming%3Atrue
44,44,420,Visualizing the Obvious: A Concreteness-based Ensemble Model for Noun Property Prediction,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Yue Yang, Artemis Panagopoulou, Marianna Apidianaki, Mark Yatskar and Chris Callison-Burch",University of Pennsylvania,Regular Long Paper,,1209b23684ee76fe951551c07c72a3f73a99aa0d,https://www.semanticscholar.org/reader/1209b23684ee76fe951551c07c72a3f73a99aa0d?experiments=&features=reader_skimming%3Atrue
46,46,441,Expose Backdoors on the Way: A Feature-Based Efficient Defense against Textual Backdoor Attacks,Accept-Findings,Machine Learning for NLP,"Sishuo Chen, Wenkai Yang, Zhiyuan Zhang, Xiaohan Bi and Xu Sun","Center for Data Science, Peking University",Regular Long Paper,,989ef83ba28b4d5cc51d943d658698aa0b642db3,https://www.semanticscholar.org/reader/989ef83ba28b4d5cc51d943d658698aa0b642db3?experiments=&features=reader_skimming%3Atrue
48,48,447,Representation Learning for Resource-Constrained Keyphrase Generation,Accept-Findings,Machine Learning for NLP,"Di Wu, Wasi U. Ahmad, Sunipa Dev and Kai-Wei Chang","University of California, Los Angeles",Regular Long Paper,,a761e7e9c731ccc98ac1ba60ead15713b077514a,https://www.semanticscholar.org/reader/a761e7e9c731ccc98ac1ba60ead15713b077514a?experiments=&features=reader_skimming%3Atrue
49,49,451,Systematicity in GPT-3's Interpretation of Novel English Noun Compounds,Accept-Findings,"Linguistic Theories, Cognitive Modeling and Psycholinguistics","Siyan Li, Riley Carlson and Christopher Potts",Stanford University,Regular Short Paper,,74be37384adc9b643b0c0a2d3b26c1361c5d779b,https://www.semanticscholar.org/reader/74be37384adc9b643b0c0a2d3b26c1361c5d779b?experiments=&features=reader_skimming%3Atrue
50,50,460,CARE: Causality Reasoning for Empathetic Responses by Conditional Graph Generation,Accept-Findings,Dialogue and Interactive Systems,"Jiashuo WANG, Yi Cheng and Wenjie Li",The Hong Kong Polytechnic University,Regular Long Paper,,21265688922d2bf3764711b8c97ab32de7eadbcf,https://www.semanticscholar.org/reader/21265688922d2bf3764711b8c97ab32de7eadbcf?experiments=&features=reader_skimming%3Atrue
53,53,507,What Language Model to Train if You Have One Million GPU Hours?,Accept-Findings,Language Modeling and Analysis of Language Models,"Teven Le Scao, Thomas Wang, Daniel Hesslow, Stas Bekman, M Saiful Bari, Stella Biderman, Hady Elsahar, Niklas Muennighoff, Jason Phang, Ofir Press, Colin Raffel, Victor Sanh, Sheng Shen, Lintang Sutawika, Jaesung Tae, Zheng Xin Yong, Julien Launay and Iz Beltagy",LightOn,Regular Long Paper,,bb15f3727f827a3cb88b5d3ca48415c09b40a88f,https://www.semanticscholar.org/reader/bb15f3727f827a3cb88b5d3ca48415c09b40a88f?experiments=&features=reader_skimming%3Atrue
54,54,511,Enhancing Out-of-Distribution Detection in Natural Language Understanding via Implicit Layer Ensemble,Accept-Findings,Machine Learning for NLP,"Hyunsoo Cho, Choonghyun Park, Jaewook Kang, Kang Min Yoo, Taeuk Kim and Sang-goo Lee",Seoul National University,Regular Long Paper,,2898f2ea955b7e1eaf9e7868a7c3602ca9a40403,https://www.semanticscholar.org/reader/2898f2ea955b7e1eaf9e7868a7c3602ca9a40403?experiments=&features=reader_skimming%3Atrue
55,55,521,Contrastive Demonstration Tuning for Pre-trained Language Models,Accept-Findings,Efficient Methods for NLP,"Xiaozhuan Liang, Ningyu Zhang, Siyuan Cheng, Zhenru Zhang, Chuanqi Tan and Huajun Chen",Zhejiang University,Regular Long Paper,,1bed3c1b7a079e7f86a355e4c64c995eab89d49d,https://www.semanticscholar.org/reader/1bed3c1b7a079e7f86a355e4c64c995eab89d49d?experiments=&features=reader_skimming%3Atrue
